Device SN,Date Stamp,TT_Offset,T1_Offset,T2_Offset,T3_Offset,UV1_Gain,UV2_Gain,UN_P0,UN_P1,UN_P2,UN_P3,UK_P0,UK_P1,UK_P2,UK_P3,UH_P0,UH_P1
100001,1730158863,7. 5,0.13,0.15,0.43,38.561,537.26,-100,0.085,0,0,-50,0.039324,0,0,-10,0.00551
100001,1730169367,7. 5,0.13,0.16,0.41,38.481,537.1,-100,0.085,0,0,-50,0.039324,0,0,-10,0.00551
